epoch,avg_accuracy,target_1_accuracy,target_2_accuracy,target_3_accuracy,target_4_accuracy,target_5_accuracy,target_6_accuracy,target_7_accuracy
1,0.6418395401149712,0.6315921019745063,0.6378405398650338,0.6418395401149712,0.6295926018495376,0.6448387903024244,0.6693326668332916,0.6378405398650338
2,0.66112043417717,0.654336415896026,0.6583354161459635,0.6643339165208698,0.646338415396151,0.6658335416145964,0.6778305423644089,0.6608347913021745
3,0.6668332916770808,0.6590852286928268,0.6613346663334166,0.6668332916770807,0.6638340414896275,0.6680829792551862,0.6798300424893776,0.6688327918020495
4,0.6732245510051059,0.6628342914271432,0.6670832291927018,0.6760809797550612,0.6718320419895026,0.6740814796300925,0.6865783554111472,0.6740814796300925
5,0.685507194629914,0.6903274181454636,0.6890777305673582,0.6915771057235691,0.6763309172706823,0.6750812296925769,0.6968257935516121,0.6793301674581355
6,0.7104652408326491,0.7213196700824793,0.7363159210197451,0.7265683579105223,0.6855786053486629,0.6983254186453387,0.7155711072231942,0.6895776055986004
7,0.754168600706966,0.7583104223944014,0.7858035491127218,0.7735566108472882,0.7375656085978506,0.7460634841289677,0.7588102974256435,0.7190702324418895
8,0.7886956832220516,0.789052736815796,0.7960509872531867,0.7945513621594601,0.7933016745813547,0.7983004248937765,0.794301424643839,0.7553111722069482
9,0.801156853643732,0.7980504873781554,0.7958010497375656,0.7998000499875031,0.8065483629092727,0.8132966758310423,0.8042989252686829,0.7903024243939015
10,0.8068697111436427,0.7988002999250188,0.7965508622844288,0.8002999250187454,0.8115471132216946,0.8202949262684329,0.8040489877530618,0.8165458635341165
11,0.8081193987217482,0.7990502374406399,0.8007998000499875,0.8002999250187454,0.8137965508622844,0.8200449887528118,0.8045488627843039,0.8182954261434642
12,0.811582818581069,0.8000499875031242,0.8052986753311672,0.8040489877530618,0.8167958010497376,0.8227943014246438,0.8067983004248938,0.8252936765808548
13,0.8147605955653943,0.8027993001749563,0.8087978005498625,0.8065483629092727,0.8187953011747063,0.8215446138465383,0.8122969257685578,0.8325418645338666
14,0.8183668368622131,0.804798800299925,0.8132966758310423,0.810047488127968,0.8182954261434642,0.8235441139715072,0.823294176455886,0.8352911772056986
15,0.8241153997214984,0.8075481129717571,0.8217945513621595,0.8125468632841789,0.8250437390652337,0.8267933016745813,0.8360409897525619,0.839040239940015
16,0.8298639625807834,0.8110472381904524,0.828542864283929,0.8192951762059485,0.8320419895026243,0.8282929267683079,0.844538865283679,0.8452886778305424
17,0.8365765701431783,0.8177955511122219,0.8347913021744564,0.8215446138465383,0.8410397400649837,0.8345413646588353,0.8545363659085229,0.8517870532366908
18,0.8441104009711858,0.823294176455886,0.8397900524868783,0.8290427393151713,0.8527868032991752,0.8430392401899525,0.8640339915021245,0.8567858035491127
19,0.8519298746741886,0.828542864283929,0.8447888027993001,0.8382904273931517,0.8647838040489878,0.849537615596101,0.8737815546113472,0.8637840539865034
20,0.8593565894240726,0.8320419895026243,0.8520369907523119,0.8487878030492377,0.8717820544863784,0.8530367408147963,0.8885278680329918,0.8692826793301675
21,0.8674617060020708,0.8385403649087728,0.860034991252187,0.8597850537365659,0.8797800549862534,0.8577855536115971,0.8992751812046988,0.8770307423144214
22,0.8767093940800513,0.846788302924269,0.8737815546113472,0.8730317420644839,0.886528367908023,0.8632841789552612,0.9055236190952262,0.8880279930017496
23,0.8863141357517764,0.8595351162209448,0.8905273681579605,0.8875281179705073,0.8942764308922769,0.8687828042989253,0.9075231192201949,0.8960259935016246
24,0.8957046452672545,0.8745313671582104,0.9007748062984254,0.9002749312671832,0.9005248687828042,0.8765308672831792,0.9107723069232692,0.9065233691577106
25,0.9020601992359053,0.8872781804548863,0.9085228692826793,0.9067733066733317,0.9042739315171208,0.8827793051737066,0.9142714321419645,0.9105223694076481
26,0.9072374763451994,0.8967758060484878,0.9107723069232692,0.9135216195951013,0.9077730567358161,0.889277680579855,0.9167708072981755,0.9157710572356911
27,0.9125575748919914,0.9042739315171208,0.9147713071732066,0.9200199950012496,0.9120219945013747,0.8960259935016246,0.9205198700324919,0.9202699325168708
28,0.9171278608919199,0.9110222444388902,0.9190202449387653,0.9215196200949762,0.9145213696575856,0.9055236190952262,0.9232691827043239,0.9250187453136716
29,0.9218052629699719,0.9210197450637341,0.9210197450637341,0.9250187453136716,0.9177705573606598,0.9122719320169957,0.9275181204698826,0.9280179955011247
30,0.9250901560324205,0.9255186203449137,0.9245188702824294,0.9270182454386403,0.9210197450637341,0.9165208697825543,0.9300174956260935,0.9310172456885779
31,0.9280894062198736,0.928767808047988,0.9292676830792302,0.9295176205948513,0.9222694326418396,0.9205198700324919,0.9322669332666833,0.934016495876031
32,0.9306601920948333,0.9327668082979255,0.9310172456885779,0.9320169957510622,0.9240189952511872,0.9242689327668083,0.9345163709072731,0.9360159960009997
33,0.9341236119541544,0.9347663084228943,0.9317670582354411,0.9347663084228943,0.9337665583604099,0.9265183704073982,0.9402649337665584,0.9370157460634841
